,tract,year,population,white_pop,Black_pop,Native_pop,Asian_pop,Pacific_pop,male_population,female_population,0-19_pop,20-29_pop,30-39_pop,40-49_pop,50-59_pop,60-69_pop,70+_pop
78,12001000902,2017,6634.0,5006.0,601.0,2.0,612.0,5.0,2710.0,3924.0,5149.0,1412.0,22.0,21.0,24.0,6.0,0.0
79,12001000902,2018,6733.0,5186.0,613.0,0.0,583.0,5.0,2824.0,3909.0,5324.0,1334.0,26.0,22.0,25.0,2.0,0.0
80,12001000902,2019,6684.0,5144.0,646.0,0.0,613.0,6.0,2798.0,3886.0,5369.0,1249.0,24.0,21.0,14.0,7.0,0.0
81,12001000902,2020,6681.0,4992.0,697.0,6.5,516.0,5.0,2752.0,3929.0,5370.0,1251.0,18.0,26.0,8.0,8.0,100.25
82,12001000902,2021,6479.0,5261.666666666667,491.0,13.0,361.33333333333337,12.0,2937.6666666666665,3541.3333333333335,3831.666666666667,1987.6666666666665,130.66666666666669,123.0,77.33333333333333,195.0,200.5
83,12001000902,2022,6277.0,5531.333333333333,285.0,19.5,206.66666666666669,19.0,3123.3333333333335,3153.6666666666665,2293.3333333333335,2724.333333333333,243.33333333333334,220.0,146.66666666666666,382.0,300.75
84,12001001000,2016,6075.0,5801.0,79.0,26.0,52.0,26.0,3309.0,2766.0,755.0,3461.0,356.0,317.0,216.0,569.0,401.0
85,12001001000,2017,5777.0,5361.0,96.0,29.0,60.0,8.0,3543.0,2234.0,757.0,3020.0,410.0,293.0,265.0,625.0,407.0
86,12001001000,2018,5596.0,5111.0,121.0,41.0,91.0,21.0,3268.0,2328.0,806.0,2934.0,361.0,222.0,308.0,543.0,422.0
87,12001001000,2019,5703.0,5097.0,212.0,67.0,129.0,15.0,3183.0,2520.0,885.0,2877.0,358.0,254.0,391.0,494.0,444.0
88,12001001000,2020,5720.0,5133.0,106.0,67.0,84.0,14.0,3113.0,2607.0,598.0,3302.0,310.0,250.0,520.0,328.0,412.0
89,12001001000,2021,6220.0,5394.666666666667,284.0,49.33333333333333,180.66666666666669,15.0,3184.3333333333335,3035.6666666666665,954.3333333333333,2412.6666666666665,522.0,343.3333333333333,700.6666666666666,524.3333333333334,762.6666666666667
90,12001001000,2022,6720.0,5656.333333333333,462.0,31.666666666666664,277.33333333333337,16.0,3255.6666666666665,3464.3333333333335,1310.6666666666665,1523.3333333333333,734.0,436.66666666666663,881.3333333333333,720.6666666666667,1113.3333333333335
91,12001001100,2016,7220.0,5918.0,640.0,14.0,374.0,17.0,3327.0,3893.0,1667.0,634.0,946.0,530.0,1062.0,917.0,1464.0
92,12001001100,2017,6952.0,5855.0,576.0,0.0,298.0,3.0,3235.0,3717.0,1588.0,625.0,918.0,629.0,926.0,877.0,1389.0
93,12001001100,2018,7143.0,5867.0,649.0,0.0,408.0,9.0,3279.0,3864.0,1685.0,585.0,1059.0,636.0,846.0,1042.0,1290.0
94,12001001100,2019,6977.0,5493.0,803.0,0.0,420.0,6.0,3273.0,3704.0,1652.0,622.0,895.0,809.0,733.0,1073.0,1193.0
95,12001001100,2020,6489.0,5278.0,427.0,3.0,266.0,4.5,3107.0,3382.0,1300.0,720.0,748.0,732.0,638.0,1256.0,1095.0
96,12001001100,2021,5401.333333333333,4309.666666666667,378.6666666666667,6.0,280.6666666666667,3.0,2548.3333333333335,2853.0,1110.0,610.3333333333334,657.0,636.3333333333334,565.6666666666666,982.6666666666667,839.3333333333334
97,12001001100,2022,4313.666666666666,3341.333333333333,330.3333333333333,9.0,295.3333333333333,1.5,1989.6666666666667,2324.0,920.0,500.66666666666663,566.0,540.6666666666666,493.33333333333337,709.3333333333334,583.6666666666667
98,12001001201,2016,3226.0,2373.0,282.0,12.0,310.0,0.0,1431.0,1795.0,730.0,391.0,475.0,445.0,421.0,436.0,328.0
99,12001001201,2017,3531.0,2515.0,460.0,15.0,262.0,0.0,1635.0,1896.0,693.0,508.0,499.0,480.0,513.0,391.0,447.0
100,12001001201,2018,3421.0,2441.0,480.0,13.0,272.0,0.0,1564.0,1857.0,670.0,497.0,459.0,448.0,517.0,369.0,461.0
101,12001001201,2019,3471.0,2602.0,492.0,9.0,106.0,0.0,1574.0,1897.0,668.0,667.0,460.0,406.0,497.0,389.0,384.0
102,12001001201,2020,3470.0,2609.0,435.0,7.0,91.0,0.0,1625.0,1845.0,779.0,610.0,535.0,259.0,463.0,396.0,428.0
103,12001001201,2021,4490.333333333333,3375.0,528.0,31.666666666666668,189.33333333333331,0.0,2130.6666666666665,2359.6666666666665,935.3333333333334,649.3333333333334,761.6666666666666,492.0,586.3333333333334,560.6666666666666,505.0
104,12001001201,2022,5510.666666666667,4141.0,621.0,56.333333333333336,287.66666666666663,0.0,2636.3333333333335,2874.333333333333,1091.6666666666667,688.6666666666666,988.3333333333333,725.0,709.6666666666666,725.3333333333333,582.0
