,PROPERTY_ID,Year,Avg_RentPerSqFtActual
86,109_12,2018,0.9166666666666665
87,109_12,2019,0.9700000000000001
88,109_12,2020,1.0150000000000003
89,109_12,2021,1.095
90,109_12,2022,1.138
91,109_1286174,2016,
92,109_1286174,2017,
93,109_1286174,2018,
94,109_1286174,2019,
95,109_1286174,2020,
96,109_1286174,2021,1.4509999999999998
97,109_1286174,2022,1.55
98,109_1286216,2016,
99,109_1286216,2017,
100,109_1286216,2018,
101,109_1286216,2019,
102,109_1286216,2020,
103,109_1286216,2021,2.394285714285714
104,109_1286216,2022,2.3899999999999997
105,109_1289516,2016,
106,109_1289516,2017,
107,109_1289516,2018,
108,109_1289516,2019,
109,109_1289516,2020,
110,109_1289516,2021,1.609
111,109_1289516,2022,1.7100000000000002
112,109_1295742,2016,
113,109_1295742,2017,
114,109_1295742,2018,
115,109_1295742,2019,
116,109_1295742,2020,
117,109_1295742,2021,
118,109_1295742,2022,
119,109_1297764,2016,
120,109_1297764,2017,
121,109_1297764,2018,
122,109_1297764,2019,
123,109_1297764,2020,
124,109_1297764,2021,1.9666666666666666
125,109_1297764,2022,2.196
126,109_1297776,2016,
127,109_1297776,2017,
128,109_1297776,2018,
129,109_1297776,2019,
130,109_1297776,2020,
131,109_1297776,2021,
132,109_1297776,2022,
133,109_1397152,2016,
134,109_1397152,2017,
135,109_1397152,2018,
136,109_1397152,2019,
137,109_1397152,2020,
138,109_1397152,2021,
139,109_1397152,2022,
140,109_15,2016,1.0008333333333332
141,109_15,2017,1.1508333333333334
142,109_15,2018,1.2366666666666666
143,109_15,2019,1.3158333333333332
144,109_15,2020,1.2566666666666664
145,109_15,2021,1.6508333333333332
146,109_15,2022,1.752
147,109_16,2016,1.2666666666666666
148,109_16,2017,1.2641666666666664
149,109_16,2018,1.3658333333333335
150,109_16,2019,1.4075
151,109_16,2020,1.4474999999999998
152,109_16,2021,1.8091666666666668
153,109_16,2022,1.8579999999999999
154,109_18,2016,0.9654545454545453
155,109_18,2017,0.9883333333333334
156,109_18,2018,1.1158333333333335
157,109_18,2019,1.1383333333333334
158,109_18,2020,1.2083333333333333
159,109_18,2021,1.5325
160,109_18,2022,1.6320000000000001
161,109_19,2016,1.1472727272727274
162,109_19,2017,1.2766666666666668
163,109_19,2018,1.3308333333333333
164,109_19,2019,
165,109_19,2020,
166,109_19,2021,
167,109_19,2022,
168,109_2,2016,0.8125000000000001
169,109_2,2017,0.8208333333333333
170,109_2,2018,0.8850000000000001
171,109_2,2019,0.9066666666666667
172,109_2,2020,0.9408333333333333
173,109_2,2021,0.965
174,109_2,2022,1.062
175,109_22,2016,
176,109_22,2017,0.899
177,109_22,2018,0.9316666666666666
178,109_22,2019,1.0333333333333334
179,109_22,2020,1.0658333333333336
180,109_22,2021,1.2491666666666665
181,109_22,2022,1.4760000000000002
182,109_23,2016,0.8881818181818183
183,109_23,2017,0.8524999999999997
184,109_23,2018,0.9016666666666667
185,109_23,2019,1.0758333333333332
186,109_23,2020,1.2283333333333335
187,109_23,2021,1.3499999999999999
188,109_23,2022,1.476
189,109_24,2016,0.9791666666666666
190,109_24,2017,1.0133333333333332
191,109_24,2018,1.1041666666666667
192,109_24,2019,1.2524999999999997
193,109_24,2020,1.3208333333333335
194,109_24,2021,1.5841666666666667
195,109_24,2022,1.8379999999999999
196,109_25,2016,0.7414285714285714
197,109_25,2017,0.7258333333333332
198,109_25,2018,0.8799999999999999
199,109_25,2019,1.0041666666666664
200,109_25,2020,1.0575
201,109_25,2021,1.2016666666666667
202,109_25,2022,1.448
203,109_26,2016,0.9818181818181819
204,109_26,2017,0.9733333333333333
205,109_26,2018,1.0250000000000001
206,109_26,2019,1.1766666666666665
207,109_26,2020,1.3
208,109_26,2021,1.7508333333333335
209,109_26,2022,1.78
210,109_27,2016,0.9466666666666667
211,109_27,2017,1.02
212,109_27,2018,1.1391666666666667
213,109_27,2019,1.2133333333333334
214,109_27,2020,1.2425
215,109_27,2021,1.4999999999999998
216,109_27,2022,1.6179999999999999
217,109_28,2016,1.1099999999999999
218,109_28,2017,1.1683333333333332
219,109_28,2018,1.255
220,109_28,2019,1.3175000000000001
221,109_28,2020,1.3808333333333334
222,109_28,2021,1.674166666666667
223,109_28,2022,1.764
224,109_29,2016,
225,109_29,2017,0.858
226,109_29,2018,0.8558333333333333
227,109_29,2019,0.96
228,109_29,2020,1.08
229,109_29,2021,1.3074999999999999
230,109_29,2022,1.5400000000000003
231,109_37,2016,1.0141666666666667
232,109_37,2017,1.0683333333333334
233,109_37,2018,1.1116666666666666
234,109_37,2019,1.2325
235,109_37,2020,1.2874999999999999
236,109_37,2021,1.3475000000000001
237,109_37,2022,1.396
238,109_371699,2016,
239,109_371699,2017,
240,109_371699,2018,
241,109_371699,2019,
242,109_371699,2020,1.2654545454545456
243,109_371699,2021,1.3408333333333333
244,109_371699,2022,1.468
245,109_373615,2016,
