,PROPERTY_ID,Year,Avg_RentPerSqFtActual
57,104_1012,2017,0.5841666666666666
58,104_1012,2018,0.5841666666666666
59,104_1012,2019,0.5825
60,104_1012,2020,0.5949999999999999
61,104_1012,2021,0.5941666666666666
62,104_1012,2022,0.622
63,104_1019,2016,
64,104_1019,2017,
65,104_1019,2018,
66,104_1019,2019,1.282
67,104_1019,2020,1.3383333333333332
68,104_1019,2021,1.655833333333333
69,104_1019,2022,1.95
70,104_102,2016,1.0525000000000002
71,104_102,2017,1.0816666666666668
72,104_102,2018,1.0816666666666668
73,104_102,2019,1.1633333333333333
74,104_102,2020,1.153333333333333
75,104_102,2021,1.2966666666666669
76,104_102,2022,1.448
77,104_103,2016,0.9841666666666667
78,104_103,2017,1.018333333333333
79,104_103,2018,1.0591666666666668
80,104_103,2019,1.0866666666666667
81,104_103,2020,1.1316666666666666
82,104_103,2021,1.2483333333333333
83,104_103,2022,1.354
84,104_104,2016,1.0166666666666668
85,104_104,2017,0.9741666666666666
86,104_104,2018,1.0241666666666667
87,104_104,2019,0.9875000000000002
88,104_104,2020,1.0416666666666667
89,104_104,2021,1.2533333333333334
90,104_104,2022,1.5859999999999999
91,104_107,2016,0.5400000000000001
92,104_107,2017,0.535
93,104_107,2018,0.5300000000000001
94,104_107,2019,0.5458333333333333
95,104_107,2020,0.5508333333333334
96,104_107,2021,0.5841666666666667
97,104_107,2022,0.6020000000000001
98,104_108,2016,0.8583333333333334
99,104_108,2017,0.8666666666666666
100,104_108,2018,0.8808333333333334
101,104_108,2019,0.9141666666666666
102,104_108,2020,0.9608333333333331
103,104_108,2021,0.985
104,104_108,2022,1.116
105,104_1091,2016,2.2291666666666665
106,104_1091,2017,2.59
107,104_1091,2018,2.5166666666666666
108,104_1091,2019,2.5533333333333332
109,104_1091,2020,2.6149999999999998
110,104_1091,2021,2.7208333333333337
111,104_1091,2022,2.792
112,104_1093,2016,0.7399999999999999
113,104_1093,2017,0.7891666666666667
114,104_1093,2018,0.8916666666666666
115,104_1093,2019,0.8908333333333335
116,104_1093,2020,0.9291666666666666
117,104_1093,2021,1.1633333333333333
118,104_1093,2022,1.3699999999999999
119,104_1096,2016,1.0863636363636362
120,104_1096,2017,1.0858333333333332
121,104_1096,2018,1.098333333333333
122,104_1096,2019,1.1500000000000001
123,104_1096,2020,1.1974999999999998
124,104_1096,2021,1.3275
125,104_1096,2022,1.3820000000000001
126,104_11,2016,1.440833333333333
127,104_11,2017,1.4608333333333334
128,104_11,2018,1.4658333333333333
129,104_11,2019,1.6325000000000003
130,104_11,2020,1.6758333333333335
131,104_11,2021,1.8625
132,104_11,2022,2.338
133,104_110,2016,0.7566666666666668
134,104_110,2017,0.7658333333333331
135,104_110,2018,0.7916666666666666
