lat,lon,zipcode
47.62,-122.34,98121
47.62,-122.34,98121
47.62,-122.36,98121
47.62,-122.35,98121
47.62,-122.34,98121
47.62,-122.36,98121
47.61,-122.35,98121
47.62,-122.34,98121
47.62,-122.35,98121
47.62,-122.34,98121
47.61,-122.35,98121
47.62,-122.35,98121
47.62,-122.34,98121
47.63,-122.37,98119
47.64,-122.36,98119
47.64,-122.36,98119
47.52,-122.27,98118
47.54,-122.28,98118
47.69,-122.38,98117
47.7,-122.36,98117
47.69,-122.36,98117
47.56,-122.39,98116
47.58,-122.39,98116
47.58,-122.41,98116
47.58,-122.38,98116
47.68,-122.29,98115
47.68,-122.29,98115
47.63,-122.28,98112
47.64,-122.52,98110
47.64,-122.52,98110
47.63,-122.34,98109
47.63,-122.34,98109
47.55,-122.32,98108
47.55,-122.29,98108
47.67,-122.37,98107
47.67,-122.39,98107
47.67,-122.38,98107
47.67,-122.39,98107
47.66,-122.37,98107
47.66,-122.3,98105
47.66,-122.3,98105
47.66,-122.3,98105
47.66,-122.31,98105
47.66,-122.28,98105
47.66,-122.31,98105
47.66,-122.3,98105
47.66,-122.31,98105
47.66,-122.28,98105
47.66,-122.28,98105
47.66,-122.3,98105
47.66,-122.3,98105
47.69,-122.35,98103
47.66,-122.33,98103
47.68,-122.32,98103
47.66,-122.34,98103
47.69,-122.34,98103
47.68,-122.33,98103
47.65,-122.35,98103
47.68,-122.35,98103
47.68,-122.32,98103
47.64,-122.33,98102
47.62,-122.31,98102
47.62,-122.31,98102
47.62,-122.32,98102
47.63,-122.32,98102
47.62,-122.32,98102
47.62,-122.32,98102
47.62,-122.33,98101
47.61,-122.34,98101
47.61,-122.33,98101
47.61,-122.34,98101
47.61,-122.33,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.32,98101
47.61,-122.33,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.33,98101
47.61,-122.33,98101
47.61,-122.33,98101
47.61,-122.32,98101
47.61,-122.34,98101
47.61,-122.32,98101
47.61,-122.34,98101
47.61,-122.32,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.33,98101
47.61,-122.34,98101
47.61,-122.32,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.34,98101
47.61,-122.32,98101
47.86,-122.28,98087
47.85,-122.27,98087
47.85,-122.29,98087
47.85,-122.25,98087
47.85,-122.27,98087
47.86,-122.28,98087
47.73,-121.99,98077
47.73,-121.99,98077
47.55,-122.06,98075
47.55,-122.06,98075
47.58,-122.03,98075
47.58,-122.03,98075
47.61,-122.04,98074
47.61,-122.03,98074
47.62,-122.03,98074
47.76,-122.08,98072
47.49,-121.78,98065
47.49,-121.79,98065
47.49,-121.79,98065
47.53,-121.87,98065
47.45,-122.15,98058
47.45,-122.15,98058
47.46,-122.14,98058
47.48,-122.22,98057
47.48,-122.21,98057
47.47,-122.21,98057
47.47,-122.22,98057
47.46,-122.25,98057
47.51,-122.16,98056
47.49,-122.16,98056
47.53,-122.19,98056
47.49,-122.16,98056
47.49,-122.15,98056
47.49,-122.16,98056
47.5,-122.2,98056
47.44,-122.22,98055
47.44,-122.2,98055
47.44,-122.2,98055
47.34,-122.31,98054
