Longitude,Latitude,Zipcode
-83.226813,33.080063,31061
-83.467083,33.596602,30650
-82.599282,31.865382,31539
-84.381501,34.340245,35203
-83.223362,31.381551,31622
-83.93838,33.034172,30295
-83.251187,31.206444,31635
-83.835379,31.529469,31768
-83.229766,33.080693,31061
-84.583927,33.566258,30512
-84.326235,32.88969,30295
-82.738152,33.736788,35203
-83.823548,34.301436,28202
-83.477249,33.572776,35203
-84.263879,33.245089,30224
-84.540581,32.677638,31827
-84.790129,34.166697,27101
-84.34215,33.107437,30295
-83.843432,33.602217,30635
-83.158106,33.884206,30630
-83.885515,32.555385,27101
-84.559108,32.788096,31836
-84.36305,34.023058,57104
-85.045271,33.996538,30308
-82.900685,32.066688,31055
-84.93215,33.731867,35203
-85.098419,33.27946,35203
-82.86572,34.109336,35203
-83.97851,30.838021,31901
-85.183574,32.879347,32301
-81.59663,31.845745,31313
-82.40465,32.865276,30434
-85.650727,40.415499,46919
-86.882241,40.985218,47946
-85.536921,40.062517,47305
-86.428617,39.426081,44114
-86.801552,39.852017,46172
-85.587618,41.463949,46581
-95.744748,41.045809,68197
-91.569341,43.084577,52043
-91.693058,41.298662,52353
-94.201292,41.934548,50022
-91.313528,40.631241,52648
-90.721418,41.45614,61265
-95.86809613,42.38825244,56288
-91.18097633,43.01761715,52043
-94.020732,41.618224,50220
-94.534225,42.529428,50563
-91.538725,41.21386,52621
-94.358122,41.691778,50216
-96.485289,42.9946,51247
-96.1757,43.082879,51250
-94.376342,42.016278,57104
-95.147366,43.15714,51301
-94.868362,42.066836,51401
-91.492945,41.806521,52333
-94.668929,42.73522,50574
-95.497712,42.973843,51058
-95.793279,42.169439,51102
-95.012985,41.40476,57104
-94.86957,42.060685,51467
-95.065168,41.909331,51463
-90.39409,42.052524,52732
-93.462962,41.644023,50023
-91.808229,42.963129,52151
-94.105175,41.83977,50220
-91.607294,42.033207,57104
-93.768971,41.559103,50265
-91.360574,41.280747,52353
-95.792961,42.165927,51034
-92.912395,42.019382,50158
-91.445651,43.052933,52156
-95.012988,41.408271,50022
-91.478992,43.269307,52172
-95.608461,43.287224,51350
-85.731445,38.253883,40206
-84.349381,37.350901,40456
-84.843325,37.762006,40422
-84.596856,38.845135,41018
-87.258229,37.536353,27101
-84.297443,38.389053,41031
-82.598532,38.417667,41129
-86.887934,36.845192,27101
-83.713797,36.607318,41501
-86.683025,37.226167,42261
-85.593499,37.658231,40004
-82.82653,37.118225,40505
-83.374164,37.162173,41749
-84.774116,37.645254,19899
-86.711401,36.862807,42206
-85.927317,37.002556,40223
-86.578301,36.722113,35203
-88.359371,36.866754,42025
-83.555227,37.733532,41301
-82.881151,37.451477,41822
-84.001334,37.430326,40447
-84.848805,36.829823,42633
-84.088277,37.108376,41501
-84.730326,38.053225,41501
-86.265227,37.190936,42210
-86.955456,36.988224,42256
-84.249974,38.212182,40361
-84.836103,38.535578,42653
-88.992878,36.667029,42031
-86.716796,37.635609,42347
-91.154343,30.648276,70791
-91.018613,30.865684,70722
-90.92061,30.225891,35203
-91.216517,30.836271,70808
-91.055864,30.412853,70801
-91.79281,32.775657,71261
-90.155129,30.844936,39501
-89.852841,33.075169,38801
-90.052187,33.112908,39095
-89.341004,32.568191,39350
-90.218956,33.18016,39038
-89.835256,31.25343,39429
-89.519106,34.366034,35203
-90.422859,32.259854,39154
-90.552051,33.726179,71923
-88.705909,34.257419,35203
-90.195171,34.50667,38606
-88.88714323,30.3963137,39533
-105.640827,48.090155,59201
-114.14629,46.418062,59875
-111.856032,48.505226,57104
-108.75989992,48.48486552,59014
-106.63947,48.194903,57104
-104.517376,48.145515,59230
-111.947582,48.167997,59301
-104.275352,46.36732,59313
-109.427988,47.065205,57104
-112.09563,45.869427,59102
-112.637771,45.216016,83406
-111.701965,47.271127,59421
-114.093374,46.510209,59102
-108.541891,46.441199,57104
-114.16336135,47.69440887,59101
-113.994481,46.871498,59802
-111.982212,47.614611,59901
-79.224008,34.97722,27101
-76.592711,36.518856,27601
-79.177058,35.721538,30308
-77.403189,35.529058,27601
-82.205178,38.809535,45631
-81.870536,40.67688,19899
-82.39621,40.375898,43022
-81.266528,40.210184,26003
-81.43599,40.359172,44621
-82.232367,39.460265,43756
-97.957318,34.020583,73565
-97.283026,36.804551,73102
-97.807908,35.29042,73089
-95.368947,35.123014,74561
-98.395501,34.605217,73102
-98.442537,36.406762,73729
-94.971129,35.91304,73102
-96.144618,34.016659,74701
-95.352555,34.589577,74538
-97.898938,36.1093,73112
-99.391936,36.43516,73801
-97.932597,35.854861,73012
-95.026206,36.52461,73102
-102.252589,36.809599,73947
-96.304879,35.431561,74859
-99.346663,35.869045,73859
-99.671877,35.613364,73628
-94.626363,35.814214,74960
-96.586139,36.085394,74017
-95.837827,36.365299,74017
-95.987251,35.439838,74437
-95.864297,35.607671,74445
-95.077097,34.948673,74561
-95.512954,34.009522,74743
-97.486952,34.232971,73533
-75.979266,39.784269,27101
-75.593077,40.75744,27101
-76.862026,40.79931,16125
-75.647997,41.433204,18503
-76.257158,41.664021,18853
-80.082078,41.350169,16145
-75.340757,40.57898,57104
-76.604464,40.149208,27101
-98.474698,45.4599,57450
-98.102382,45.457707,57445
-97.862675,42.991351,57066
-102.241773,43.993579,59101
-101.07388,45.428378,57656
-98.695554,43.254257,57501
-97.520102,45.331269,57401
-96.920602,44.318317,57026
-97.04782793,44.24549195,57212
-98.485217,43.714273,57368
-97.206484,44.65705,57234
-100.382734,44.385579,57532
-99.61977,45.769481,57437
-97.052148,45.663105,57401
