Longitude,Latitude,Zipcode
-10020516.4329,4175346.8652,38106
-10020516.4846,4175326.0438,38106
-12693032.1326,3854453.3994,85356
-12760308.4448,3858077.0511,85364
-12775333.6902,3829226.1301,85349
-10020221.669,4482562.7773,63764
-10020065.3207,4482579.0387,63764
-12352333.2452,3798186.2118,85705
-12473360.2218,3961100.6179,85014
-12764824.4681,3854464.3264,85364
-12761169.0434,3851989.6408,85364
-12471079.9916,3958820.4775,85008
-12475735.0594,3948771.9903,85040
-12490313.6374,3963035.4327,85033
-12512112.555,3953838.885,85338
-12350870.6207,4345268.5649,86044
-9493261.3635,4166668.8479,37404
-9716673.6832,4386371.5319,37040
-9646130.2762,4307127.9636,37013
-9657138.5335,4324648.2543,37206
-13659230.5875,5953116.0608,98513
-13690653.3066,5621506.0814,97305
-9657163.0523,4323696.2331,37206
-9661058.849,4318052.3531,37204
-9304911.5071,4294285.8707,37764
-9638398.0239,4347960.4407,37075
-9630414.3879,4379519.9055,37148
-9980987.6973,4239905.8192,38019
-9211373.4405,3235782.2083,33771
-9042188.6389,3319148.0803,32825
-9828944.8038,5115468.3841,60543
-10772933.376,3868916.2817,75204
-12354071.2502,6194146.9657,59522
-9691846.6673,4337979.1886,37015
-12533539.7432,5876756.8501,59713
-12128196.3044,5950238.931,59032
-10188527.4203,4518791.9013,65560
-10316201.8236,4380983.72,65761
-10316261.5198,4381002.2263,65761
-10133415.4674,4381043.8432,63942
-9999234.2276,4332704.6404,63851
-12367215.3021,3808979.5914,85743
-12479590.7969,3998749.3392,85085
-12334203.899,3754776.2978,85641
-13563501.1307,4539813.6713,94568
-13447447.9967,4512759.1193,95316
-12487709.9157,3950109.6991,85043
-13162377.386,4017454.1664,90222
-12449447.6551,3740131.9175,85634
-11360111.2126,5926390.2364,58638
-11701397.9487,5741876.0343,59345
-10949983.5064,3033712.9307,78572
-9253950.1258,4591448.1302,41171
-7970951.4354,5205000.2336,1581
-11609920.1682,6070205.3391,59270
-11761640.6767,5872254.0765,59338
-12194277.0067,6190836.4197,59501
-11787499.5491,5732208.1091,59351
-12183550.7844,6266819.1432,59501
-8806781.3762,4310089.4108,27278
-12277142.6751,6241429.5034,59525
-11679332.7098,5657133.8738,59332
-12095889.8809,6204401.8807,59526
-12202956.6972,5967405.0125,59457
-12360380.359,5754605.5008,59714
-11092253.758,5073297.3322,68822
-7460692.429,2052569.5189,970
-12165870.5625,4044981.8319,85925
-9743906.7585,4675904.2695,47591
-10548109.438,5348059.3169,51342
-9406467.6382,5266342.0536,48910
-12533667.6484,6224816.0655,59427
-9647457.2267,3967784.4126,35210
-14766542.4133,7456032.7671,99921
-11191422.7573,5211464.425,69201
-12357675.3193,3790415.9825,85713
-10574895.5945,3461236.7501,77571
-10782591.337,3847595.7128,75237
-10584679.7526,3549512.3367,77327
-10697460.3229,3811463.3675,75147
-12301635.3418,5440970.5163,83013
-12506623.7066,4106940.6681,86314
-12355335.4144,3782419.2874,85709
-12722532.3328,4047982.3193,85344
-12470059.6284,3957536.156,85008
-12469422.1033,3901570.7009,85138
