Longitude,Latitude,Zipcode
-13625440.0403,4550498.9787,94111
-9404179.9289,4019222.7872,30068
-9058710.7424,3332808.4131,32701
-8235447.9692,4975813.9672,10017
-10632954.7166,3465282.2294,77074
-13140554.1297,4041130.0226,91780
-13042955.7308,3858348.1985,92101
-9587586.5709,4871554.1136,46074
-13324064.783,4412649.2511,93612
-8916753.6744,3029832.6355,33062
-13056164.8517,4043657.6904,92410
-9249506.6561,4886980.8913,43065
-8935280.7501,2975645.9704,33166
-10873167.6271,3024356.0247,78550
-8244108.3808,5029619.0264,10952
-8957163.2071,2935597.9881,33033
-13122375.0822,4040657.5629,91722
-8242800.8613,5079989.0989,12553
-8260377.443,4881563.1593,8701
-8089859.1011,5125489.662,6103
-8236777.2284,4958973.1212,11219
-8387588.4767,4959389.8571,18018
-10480128.3958,4316301.7607,72703
-13046810.9559,3864509.4094,92110
-8601626.7858,4699425.1744,22031
-9656812.4686,4319319.0062,37210
-8654421.1101,5335239.7839,14624
-9662709.0607,3944551.6587,35244
-8259280.3129,4881030.1533,8701
-8309416.8431,4993007.9127,7876
-8260240.814,4880641.2897,8701
-13517667.4597,4646487.8991,95823
-7958036.1195,5282214.8332,3054
-13334788.6108,4791523.8377,89502
-8941969.8223,2969577.46,33144
-8282976.9472,4933899.93,8816
-9366541.7407,4014925.8566,30047
-10222352.6666,3502705.1254,70560
-12947565.2278,5406910.1101,83704
-13028369.8343,3892493.6359,92064
-13051129.6727,3920189.3222,92081
-12492366.4336,3979873.2515,85382
-9651598.0529,4341822.0807,37072
-11681775.5571,4820432.2916,80222
-10017931.2277,4182221.7197,38104
-9255769.6979,5223642.1034,48221
-12451245.1938,4948297.0234,84094
-9436371.3133,5400856.7318,48858
-7403378.1158,2050404.6064,766
-13655223.1841,4620350.692,94951
-9951821.335,5322351.4376,53719
-9782869.7957,5323424.0792,53201
-9912887.4614,5263337.4763,53548
-9941310.3025,3675073.4799,39401
-9780132.8026,5257721.0503,53141
-10035765.1142,3498742.4448,70121
-7356112.7179,2090839.1975,907
-13151214.38,4048255.3339,91101
-9125549.0344,3080880.5674,33993
-8552227.7478,4906372.8812,17110
-10774555.4549,5513368.1618,57006
-10970697.8615,3438534.9435,78201
-9165854.836,3241658.7978,33619
-9125191.9291,3262626.8773,33809
-13502450.9024,4583028.7829,95120
-9262361.1062,4479067.5893,41701
-13042974.1151,3857972.0869,92101
-11875293.1075,4196687.0806,87124
-9861966.1154,5276715.4234,53121
-11842590.3413,3733629.4482,79915
-10137092.3047,3557295.2066,70816
-11226485.2779,4575240.6677,67846
-13603203.2225,4543076.8634,94621
-10132398.0975,4657094.5198,63090
-8220402.6334,4969629.7225,11375
-8395944.3668,4852585.6024,19063
-9004842.6223,4194454.567,28208
-13042212.8985,3913489.594,92078
-7479362.8691,2081986.056,602
-8598846.2419,4711102.7539,22182
-9089470.097,3558701.6175,32118
-13133684.2991,4018509.1557,90604
-10811510.6824,3887304.7748,76092
-8946096.836,2947838.4049,33157
-8298222.9807,4946297.8647,8873
-9866392.0554,5602923.8731,54135
-9532172.227,5317343.5447,49525
-9064630.3948,4989490.7027,44718
-9534722.5615,5204606.223,49009
-10068762.9881,4677461.258,63146
-9192505.9761,4978734.3609,44906
-13326865.4858,4086601.6345,93105
-13323823.8546,4416058.6448,93611
-13186661.6256,4054725.4919,91405
-12480368.452,3971497.4136,85021
-12481307.6627,3986502.084,85027
-10104220.2695,4169547.2722,72335
-13071769.1251,4019264.8171,92504
-13042481.029,3858427.9323,92101
-13021903.3641,3874485.1154,92071
-13574406.6721,4496968.4033,95134
-13113854.4128,4037250.1036,91764
-13637904.3939,4576612.0477,94901
-9081629.9118,3534285.6214,32256
-13035838.6591,3855921.1172,92113
-13601850.4292,4492522.0898,94304
-11686963.6551,4829045.2874,80203
-13610411.6816,4554214.1278,94609
-10937945.1229,3028540.1216,78501
-8123749.2335,5051870.7351,6516
-8927780.296,3085091.7549,33411
-11882590.6782,3802544.2803,88001
-8118285.0532,5057278.7385,6510
-13610596.2244,4560621.4849,94704
-9038759.871,3321435.1364,32826
-10106235.7341,4195479.4859,72396
-9717153.6881,3566379.7972,32526
-10239140.7525,4057595.9651,71601
-8243168.7961,4906586.1164,7724
-9089622.7572,3258749.8286,33881
-13152631.4345,4049368.6757,91103
-9075981.8792,3228472.2476,33827
-10833571.315,3233712.5186,78374
-7360201.2171,2034978.3424,784
-9150165.9739,3393488.4832,34474
-9352894.3689,3981027.2978,30094
-9482739.2902,3879267.8766,31833
-9387103.9089,4001077.829,30322
-10256963.7354,4148056.5647,72076
-9393968.0821,3995848.7813,30303
-9754411.1416,5142155.4308,60605
-17572866.664,2428924.6784,96813
-9777417.3885,5146834.3443,60160
-13687317.2293,5895625.7914,98531
-9761109.1351,5147082.272,60622
-10711624.3699,4638766.8104,66801
-9539629.2569,4618630.1034,40207
-9739152.9751,4422765.5817,42240
-8236630.4173,4958370.5546,11219
-8777754.7061,4284234.9592,27703
-13143504.4694,4012458.6493,90703
-9545968.6859,4614270.5259,40202
-7828422.1893,5409745.7385,4240
-10133466.4703,3551178.9004,70817
-10109103.8622,3463879.1483,70395
-8553385.9956,4746670.255,21046
-8409734.4193,4732012.6959,19980
-7912244.2787,5213825.6299,2116
-8161420.4425,5230072.9444,1201
-8543928.1251,4765960.6262,21244
-12464036.6692,3935994.223,85226
-9664234.3958,4926296.1542,47905
-9393958.7556,3996642.8125,30303
-10625780.6317,3505344.6601,77090
-8461197.0429,4912456.5341,19608
-8285998.9255,4956355.9443,7060
-8263162.8896,4875175.475,8701
-9679565.0249,3948527.1991,35020
-8538132.2699,4773550.509,21215
-8258168.6781,4881828.4407,8701
-12445876.9043,5436465.5365,83440
-7353509.2947,2080193.1583,926
-8262608.4035,4930418.8608,7735
-10098211.5561,3996002.6178,38732
-17417359.6566,2379103.0538,96732
-9072936.5894,3190578.1588,33870
-7910977.5776,5213874.9232,2116
-13585337.4241,4575897.9123,94520
-8263476.0367,4882308.829,7731
-8219433.8618,4978563.1412,11354
-7913353.7497,5213836.8128,2115
-9179783.0284,3310677.8286,34604
-7900138.0833,5249771.0764,1923
-11665702.82,4798333.2756,80134
-13652232.9317,4612088.384,94952
-8265112.2064,4880259.6565,8701
-11863355.2389,4178446.1511,87110
-10961641.4456,3451418.6878,78232
-7914816.7875,5211956.1451,2115
-10576448.5366,6086929.7252,56671
-9289121.5036,5203953.5667,48188
-10529763.9295,4731500.0523,64111
-10379375.7098,4385806.8276,65726
-13295080.6,4384006.8937,93654
-10050751.0468,4688560.4178,63044
-10530229.9645,4729103.956,64111
-10646522.0886,3469468.1709,77077
-12580139.3271,6199162.9234,59417
-13327101.8574,4799450.8721,89434
-7955875.6766,5309996.4136,3101
-13506116.1727,4660572.4567,95827
-13168169.5195,4009319.502,90502
-9021275.9312,4028820.0342,29201
-9022090.5291,3408090.4423,32117
-7881286.3588,5322953.9939,3801
-9541204.9864,4625647.6226,47130
-7962375.2053,5341387.4249,3301
-13558896.2914,4576151.6688,94581
-8451079.6124,5174098.1495,13903
-8287404.8049,4938799.678,8901
-8236271.7155,4978817.2567,10023
-8616554.9531,4471019.4597,23803
-8244631.2489,4972761.0298,7306
-8323200.6416,4898021.8966,8608
-8272046.6969,4947584.2279,8830
-8988448.9415,4868065.3268,43906
-8235362.7137,4976107.5582,10017
-9176468.9041,3170996.2572,34240
-10874564.3333,3585541.0839,78626
-8230822.8079,4963742.5777,11230
-8234700.949,4975657.2569,10017
-8239280.3898,4969457.2889,10006
-8221895.891,4972479.6069,11374
-8231332.3998,4983253.8014,10035
-8774228.8049,5274704.9338,14075
-8182080.9588,4972275.3877,11756
-8234890.1657,4976981.0871,10022
-8218653.8065,4977040.4525,11354
-8233161.6895,4978294.6918,10021
-8237325.3594,4973411.9199,10011
-8218844.059,4970372.9045,11375
-8257649.2496,4954314.9498,10311
-10360013.0694,4096157.8873,71913
-8770819.1414,5312130.465,14260
-8213424.0635,5323730.9665,12866
-8215501.5782,4984239.138,10465
-9247635.3201,4873836.1704,43220
-8236475.8919,4976034.8755,10018
-11493771.4786,5470306.6367,57701
-9360028.2056,4834434.8355,45433
-9372486.0411,4733304.0097,45103
-9383977.6902,5079026.0994,43502
-8363836.3155,4875679.2263,19027
-8575802.2076,4707836.2397,20036
-8420320.3194,5078918.0443,18508
-8382925.9986,4867008.2085,19041
-9248588.9395,5209881.261,48216
-9656292.8335,4327399.7125,37206
-8363410.3036,4878490.7762,19027
-8926426.5252,4851325.2427,15370
-9169528.6005,4140310.1438,29606
-10775067.2198,3864324.5809,75215
-9037374.4338,4547816.2479,25801
-10877291.5645,3545095.6556,78752
-10972478.0881,3441611.3646,78229
-10772148.0813,3878193.451,75231
-11757682.1008,5057202.9822,82070
-10964356.7012,3432561.8599,78212
-8982381.0133,4876355.577,26003
-7353669.3397,2088921.126,909
-7349594.7677,2063699.5734,726
-7365823.3167,2082423.5338,960
-7342637.124,2082085.9527,985
-13181394.9695,4033032.2086,90034
-7351063.3935,2083705.8258,926
-11215968.8584,5902389.2066,58504
-9776548.3576,5176652.3236,60026
-7360272.543,2092238.2947,901
-7399696.687,2088252.0798,674
-7349937.258,2065188.9658,725
-7360589.0844,2092378.4457,902
-9342582.9343,4294116.7785,37996
-13034231.1408,3912735.0104,92025
-8918812.6329,3056284.5846,33484
-7327802.3031,2054908.1078,791
-7474533.6141,2061249.1631,681
-7355425.0713,2084010.6012,936
-7348884.2858,2085721.459,924
-13001415.2974,6058067.1884,83815
-7359318.9843,2033646.1107,784
-7364560.1041,2084048.5937,960
-7412729.9016,2038509.9144,716
-7345316.9773,2085980.6623,985
-7354835.7851,2084869.5686,936
