Latitude,Longitude,Zipcode
47.61660329,-122.3356233,98101
47.28185661,-122.1621906,98092
47.28100279,-122.1570587,98092
47.59972916,-122.0361823,98075
47.62419195,-122.0528004,98074
47.7588027,-122.1146484,98072
47.75548673,-122.1517334,98072
47.75633396,-122.1648523,98072
47.4654906,-122.127156,98058
47.4635356,-122.1389224,98058
47.46444988,-122.1865342,98058
47.45297454,-122.1117363,98058
47.47855739,-122.212922,98057
47.48137311,-122.2017807,98057
47.57372756,-122.2232508,98055
47.44193504,-122.2041237,98055
47.43943146,-122.1978699,98055
47.69467941,-122.0708844,98053
47.68124334,-122.0654453,98053
47.64859504,-122.1243476,98052
47.57752176,-122.1713582,98052
47.6136245,-122.1233421,98052
47.672215,-122.1014784,98052
47.61756141,-122.1463131,98052
47.68909623,-122.1391977,98052
47.66450839,-122.1016634,98052
47.74144934,-122.040276,98052
47.70974434,-122.1298585,98052
47.80172054,-122.3101239,98043
47.5576915,-122.2200155,98040
47.57551406,-122.206207,98040
47.58281599,-122.2320626,98040
47.62159216,-122.2297735,98039
47.63606812,-122.2351689,98039
47.40790457,-122.0218308,98038
47.37871599,-122.049165,98038
47.80337883,-122.2588977,98036
47.81560103,-122.2659937,98036
47.72288833,-122.2077026,98034
47.71311633,-122.1675695,98034
47.71041578,-122.1870771,98034
47.67056208,-122.1805841,98033
47.65606087,-122.1966744,98033
47.6216786,-122.2923695,98033
47.64329338,-122.1983815,98033
47.67306773,-122.2019057,98033
47.4158677,-122.1878846,98031
47.38882019,-122.191956,98031
47.38834195,-122.2107425,98031
47.57916496,-122.0738601,98029
47.55849856,-122.0155157,98029
47.54915337,-122.0091006,98029
47.61565348,-122.0363426,98029
47.55628886,-122.0168097,98029
47.5771576,-122.0380065,98029
47.73669139,-122.2483844,98028
47.52853736,-122.0456311,98027
47.54384416,-122.038921,98027
47.55160766,-122.0607508,98027
47.83084882,-122.3380254,98026
47.56851825,-121.9040073,98024
47.32350059,-122.3550423,98023
47.32362759,-122.3419654,98023
47.25368218,-121.9888644,98022
47.7803808,-122.1826887,98021
47.81568433,-122.3701383,98020
47.81426697,-122.3752171,98020
47.7407034,-121.9857907,98019
47.81979697,-122.211548,98012
47.83385604,-122.2112225,98012
47.74817508,-122.151338,98011
47.7696656,-122.2025613,98011
47.74667051,-122.1894249,98011
47.75567399,-122.2127284,98011
47.80347293,-122.2588824,98011
47.77516699,-122.1814235,98011
47.7689444,-122.2054092,98011
47.74440083,-122.1821586,98011
47.56980387,-122.1017698,98008
47.61490179,-122.1222416,98008
47.6753323,-122.1179302,98008
47.63377188,-122.131455,98008
47.63209001,-122.1455953,98007
47.62987017,-122.1486426,98007
47.590428,-122.1446329,98007
47.62724998,-122.1378679,98007
47.61762724,-122.1520988,98007
47.55893353,-122.1553004,98006
47.55750189,-122.1271184,98006
47.56627389,-122.1658144,98006
47.57478412,-122.1325219,98006
47.56868234,-122.1665675,98006
47.54786873,-122.1143336,98006
47.63431736,-122.1845166,98005
47.63246488,-122.1546968,98005
47.62557617,-122.2108844,98004
47.63192739,-122.19105,98004
47.63602168,-122.1837802,98004
47.62416939,-122.2125655,98004
47.62994793,-122.1923502,98004
47.64268561,-122.1967089,98004
47.62786268,-122.1954313,98004
47.27382147,-122.3282286,98003
47.33499213,-122.3006925,98003
47.28194339,-122.3258547,98003
47.29922942,-122.3085725,98003
47.32180766,-122.327541,98003
47.32717462,-122.3247498,98003
47.29394371,-122.222942,98002
47.31705893,-122.2167028,98002
