,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
6909,1_382,1,Phoenix,19W,Chandler,Maricopa,Country Brook,,4909 West Joshua Blvd,Chandler,AZ,85226,33.3141459,-111.9274583,4806421400.0,396,381333.0,15.056,B+,A-,Completed,,,,1986-12-01,0.0,,,N,,N,,,,96.2,1741.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=382,040138106004016,04013810600
6910,1_382404,1,Phoenix,19W,Chandler,Maricopa,"District at Chandler, The",,2222 West Frye Road,Chandler,AZ,85224,33.299787,-111.879624,4805918310.0,340,323878.0,8.71,A,B,Completed,2018-03-27,2019-02-18,2019-10-07,2021-01-04,0.0,,N,N,N,N,,0.0,,94.7,2010.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=382404,040138112001001,04013811200
6911,1_383607,1,Phoenix,21E,Union Hills,Maricopa,Montreux,,5550 East Deer Valley Drive,Phoenix,AZ,85054,33.676951,-111.961773,4802483311.0,335,350016.0,8.5,A-,B+,Completed,,2018-03-15,2019-03-07,2020-08-17,0.0,,N,N,N,N,,,,93.4,2419.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=383607,040136152023016,04013615202
6912,1_383616,1,Phoenix,11,Uptown,Maricopa,C17,,SWC North 17th Avenue & West Camelback Road,Phoenix,AZ,85015,33.508641,-112.096249,,330,0.0,3.96,,C,Prospective,,,,,0.0,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=383616,040131089021001,04013108902
6913,1_384198,1,Phoenix,16N,North Tempe,Maricopa,Apollo,,1100 East Apache Blvd,Tempe,AZ,85281,33.415309,-111.921974,4805045300.0,327,357996.0,4.84,A-,B,Completed,2018-04-17,2019-03-01,2020-01-01,2020-08-12,0.0,,A,N,N,N,,0.0,,,2996.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=384198,040133191012001,04013319101
6914,1_385821,1,Phoenix,19E,Gilbert,Maricopa,"Crossing at Cooley Station, The",,3700 East Williams Field Road,Gilbert,AZ,85295,33.308085,-111.710253,4809335360.0,408,0.0,21.15,,B,Under Construction,2018-05-07,2020-05-01,2021-02-15,2022-06-30,0.0,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=385821,040138152021013,04013815202
6915,1_389703,1,Phoenix,16N,North Tempe,Maricopa,"Alyssa, The","Rio 2100, Millennium at Rio Salado",2110 East Rio Salado Pkwy,Tempe,AZ,85281,33.430781,-111.89464,,335,0.0,5.56,,B-,Planned,2021-10-15,,,,0.0,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=389703,040133184006006,04013318400
6916,1_389772,1,Phoenix,1N,North Scottsdale,Maricopa,Grayhawk Residences at Cavasson,"Cavasson, The, Crossroads East",7701 East Legacy Blvd,Scottsdale,AZ,85255,33.660932,-111.915674,,400,0.0,18.0,,B+,Planned,2020-04-01,,,,1.0,,N,,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=389772,040132168442012,04013216844
6917,1_393229,1,Phoenix,1S,South Scottsdale,Maricopa,Roadrunner on McDowell,,6601 East McDowell Road,Scottsdale,AZ,85257,33.464341,-111.937473,4807414741.0,358,0.0,11.5,,B,Under Construction,2018-07-20,2020-03-06,2021-04-29,2022-02-28,0.0,,N,N,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=393229,040132181001006,04013218100
6918,1_396,1,Phoenix,16S,South Tempe,Maricopa,505 West,"Suncadia, Sun River Village",505 West Baseline Road,Tempe,AZ,85283,33.3768289,-111.9473661,4808399192.0,334,286168.0,14.29,B-,B-,Completed,,,,1981-01-01,,,,N,,N,,,,98.5,1588.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=396,040133200072004,04013320007
6919,1_397523,1,Phoenix,5,Sun City - Youngtown - Peoria,Maricopa,Cortland at P83,Paradise @ P83,16601 North 75th Avenue,Peoria,AZ,85382,33.63491,-112.2195908,6232485382.0,354,323123.0,14.15,A-,B+,Completed,2019-02-01,2019-09-01,2020-08-21,2021-07-06,0.0,,N,N,N,N,,0.0,,97.2,1753.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=397523,040130715111005,04013071511
6920,1_397716,1,Phoenix,19E,Gilbert,Maricopa,Liv Crossroads,Liv at Gilbert Crossroads,445 East Germann Road,Gilbert,AZ,85297,33.275,-111.78052,4807500020.0,356,312497.0,19.08,,B,Under Construction,,2020-04-06,2021-01-01,2022-02-28,0.0,,N,N,N,N,,0.0,,,1772.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=397716,040138159011008,04013815901
6921,1_399,1,Phoenix,2N,North Paradise Valley,Maricopa,Greenspoint at Paradise Valley,Greenspoint,4202 East Cactus Road,Phoenix,AZ,85032,33.6004424,-111.9915532,6024940391.0,336,278064.0,9.256,B,B,Completed,,,,1985-08-01,0.0,,N,N,N,N,N,0.0,,96.4,1667.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=399,040131032104006,04013103210
6922,1_402,1,Phoenix,21W,Deer Valley,Maricopa,Diamonte on Bell,"Bell Lakes, Bell Square",3202 West Bell Road,Phoenix,AZ,85053,33.6400348,-112.1283761,6029423500.0,456,366548.0,18.671,B,B,Completed,,,,1985-01-01,0.0,,N,N,N,N,,,,94.7,1424.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=402,040136185003001,04013618500
6923,1_404,1,Phoenix,4S,Metrocenter,Maricopa,Montelano,Sands Point,8330 North 19th Avenue,Phoenix,AZ,85021,33.55961,-112.10132,6028643400.0,432,339852.0,11.72,B,C+,Completed,,,,1985-06-01,,,,N,,N,,,,93.3,1449.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=404,040131055031000,04013105503
6924,1_407,1,Phoenix,17S,South Mesa,Maricopa,Cielo on Gilbert,Gateway on Gilbert,1710 South Gilbert Road,Mesa,AZ,85204,33.3842461,-111.7893428,4804972051.0,432,353760.0,19.9,B,B,Completed,,,,1985-01-01,0.0,,N,N,N,N,,0.0,,97.0,1633.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=1&PropertyID=407,040134223021005,04013422302
