,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
220,38_2932,38,Fort Worth,23.0,Hemphill,Tarrant,Vista del Sol,E.D. Head,4316 Baldwin Avenue,Fort Worth,TX,76115,32.683924,-97.338515,8173679065.0,54,32240.0,1.97,C,C,Completed,,,,1968-01-01,0.0,,N,N,N,N,,,,90.7,1052.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=2932,484391047023002,48439104702
221,38_2954,38,Fort Worth,4.0,Westover Hills,Tarrant,Ridgmar Townhomes,,2109 Remington Street,Fort Worth,TX,76116,32.739282,-97.428969,8174895105.0,60,67640.0,2.63,C+,B-,Completed,,,,1984-01-01,0.0,,N,N,N,N,,,,85.0,1373.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=2954,484391230013003,48439123001
222,38_387256,38,Fort Worth,38.0,Southlake,Tarrant,Carillon Parc,Carrilon Parc,East State Highway 114 & North White Chapel Blvd,Southlake,TX,76092,32.961864,-97.150998,,50,0.0,,,A-,Planned,2021-08-28,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=387256,484391139552029,48439113955
223,38_468,38,Fort Worth,57.0,Weatherford,Parker,Weatherford Town Center,,2024 Tin Top Road,Weatherford,TX,76086,32.733779,-97.799934,8175949021.0,60,54006.0,5.4,B,B-,Completed,,2004-04-01,,2005-01-01,0.0,,N,N,,A,,,,100.0,1296.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=468,483671402012070,48367140201
224,38_559,38,Fort Worth,57.0,Weatherford,Parker,Jameson Street,,1121 Jameson Street,Weatherford,TX,76086,32.760737,-97.777615,8176131659.0,60,47540.0,4.05,C+,B-,Completed,,,,1973-01-01,0.0,,N,N,,N,,,,100.0,952.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=559,483671401021027,48367140102
225,38_595,38,Fort Worth,18.0,Ridglea,Tarrant,Bonnie Royal,,3241 Bonnie Drive,Fort Worth,TX,76116,32.725466,-97.446136,8172440819.0,64,33920.0,1.75,C,C+,Completed,,,,1985-01-01,0.0,,N,N,,N,,,,100.0,782.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=595,484391023013028,48439102301
226,38_60,38,Fort Worth,27.0,Burleson/Joshua,Johnson,Crestmoor Park West,,321 SW Thomas Street,Burleson,TX,76028,32.542754,-97.333834,8172951792.0,60,48000.0,2.86,C,B-,Completed,,,,1975-01-01,0.0,,N,A,,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=60,482511302052033,48251130205
227,38_631022,38,Fort Worth,2.0,Fairmount/Morningside/Worth Heights,Tarrant,Evans and Rosedale Urban Village,,Evans Avenue & East Rosedale Street,Fort Worth,TX,76104,32.732149,-97.318336,,50,0.0,,,C-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=631022,484391231001116,48439123100
228,38_631235,38,Fort Worth,6.0,Tanglewood/Westcliff,Tarrant,NW 29th Street & Ross Avenue,,NW 29th Street & Ross Avenue,Fort Worth,TX,76106,32.797576,-97.354517,,52,0.0,,,C,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=631235,484391003003035,48439100300
229,38_703,38,Fort Worth,18.0,Ridglea,Tarrant,Carriage Square of Fort Worth,,6709 West Elizabeth,Fort Worth,TX,76116,32.723963,-97.432449,8177385322.0,50,43524.0,1.7,B-,C,Completed,,,,1966-01-01,0.0,,N,N,,N,,,,92.0,877.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=38&PropertyID=703,484391023012014,48439102301
