,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
3418,116_93,116,New Orleans,4.0,French Quarter,Orleans Parish,Hibernia Tower,,812 Gravier Street,New Orleans,LA,70112,29.9518409,-90.0715809,5045289188.0,175,133763.0,0.67,A,B,Completed,,,,2011-01-01 00:00:00,1.0,"Includes 41,500 Square Feet of Office and Retail",N,P,N,N,,1.0,,98.9,1801.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=116&PropertyID=93,220710134001015,22071013400
3419,116_97,116,New Orleans,16.0,Algiers,Orleans Parish,Timber Ridge,,6364 Woodland Hwy,New Orleans,LA,70131,29.9089049,-89.9878773,5043919841.0,151,131520.0,6.16,B-,C+,Completed,,,,1982-01-01 00:00:00,0.0,,N,N,N,N,,,,100.0,619.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=116&PropertyID=97,220710006162012,22071000616
3420,117_10,117,Baton Rouge,9.0,Park Forest-La North,East Baton Rouge Parish,Pine Grove,Classic Heights,11440 Bard Avenue,Baton Rouge,LA,70815,30.467575,-91.0559763,2252751884.0,203,198971.0,7.38,C+,C+,Completed,,,,1975-01-01 00:00:00,0.0,,N,N,N,N,,,,12.8,694.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=10,220330036044004,22033003604
3421,117_108,117,Baton Rouge,10.0,Broadmoor-Sherwood Forest,East Baton Rouge Parish,Eden Point,,11528 Old Hammond Hwy,Baton Rouge,LA,70816,30.436072,-91.0552928,2252759509.0,186,152980.0,6.75,C+,B-,Completed,,,,1969-01-01 00:00:00,0.0,,N,N,N,N,,,,89.2,685.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=108,220330039122000,22033003912
3422,117_1100,117,Baton Rouge,2.0,Mid City North,East Baton Rouge Parish,Port Royal,,6454 Airline Hwy,Baton Rouge,LA,70805,30.49552,-91.126819,2259308180.0,192,216672.0,9.45,B+,C,Completed,2015-06-16,2016-01-18,2017-04-10,2017-08-21 00:00:00,0.0,,N,A,N,N,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1100,220330002005013,22033000200
3423,117_1102,117,Baton Rouge,7.0,Baton Rouge - North,East Baton Rouge Parish,Audubon Park Apartment Homes,,1233 East Mt. Pleasant Zachary Road,Zachary,LA,70791,30.654011,-91.209912,2256540944.0,178,190790.0,13.48,A,B,Completed,,2014-08-01,2015-10-14,2016-05-06 00:00:00,0.0,,N,N,N,N,,0.0,,96.1,1378.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1102,220330046032011,22033004603
3424,117_1110,117,Baton Rouge,8.0,Merrydale,East Baton Rouge Parish,Cypress Springs Senior Living,,8280 Cypress Spring Road,Baton Rouge,LA,70811,30.5218961,-91.1392241,2253262501.0,144,109240.0,6.24,B-,C+,Completed,,2015-07-01,2016-07-28,2016-10-28 00:00:00,0.0,,N,A,N,A,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1110,220330034002013,22033003400
3425,117_1113,117,Baton Rouge,19.0,Denham Springs,Livingston Parish,Creekside Crossing,,30100 Walker North Road,Walker,LA,70785,30.491182,-90.861987,2252340448.0,168,181272.0,7.5,A-,C+,Completed,,2015-10-01,2016-03-29,2017-01-20 00:00:00,0.0,,N,N,N,N,,0.0,,98.8,1175.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1113,220630404051011,22063040405
3426,117_1128,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,Bluebonnet Blvd & Picardy Avenue,,Bluebonnet Blvd & Picardy Avenue,Baton Rouge,LA,70809,30.391712,-91.09116,,150,0.0,,,B+,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1128,220330038042014,22033003804
3427,117_1129,117,Baton Rouge,8.0,Merrydale,East Baton Rouge Parish,Commodore Pointe,,Airline Highway & Plank Road,Baton Rouge,LA,70805,30.509312,-91.149743,,180,0.0,,,C-,Prospective,,,,,,,,A,,,,0.0,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=1129,220330034005008,22033003400
