,Zipcode,Area,State,Region
282,32757,36.37,FL,FL
283,32759,40.91,FL,FL
284,32763,16.8,FL,FL
285,32764,90.7,FL,FL
286,32765,39.11,FL,FL
287,32766,43.79,FL,FL
288,32767,63.23,FL,FL
289,32771,36.18,FL,FL
290,32773,27.73,FL,FL
291,32776,43.19,FL,FL
292,32778,25.09,FL,FL
293,32779,18.82,FL,FL
294,32780,63.8,FL,FL
295,32782,48.288357221609665,FL,FL
296,32784,90.69,FL,FL
297,32789,7.79,FL,FL
298,32792,12.29,FL,FL
299,32796,14.62,FL,FL
300,32798,3.1,FL,FL
301,32801,2.28,FL,FL
302,32803,6.94,FL,FL
303,32804,7.35,FL,FL
304,32805,6.67,FL,FL
305,32806,6.66,FL,FL
306,32807,8.09,FL,FL
307,32808,11.98,FL,FL
308,32809,10.38,FL,FL
309,32810,9.24,FL,FL
310,32811,8.3,FL,FL
311,32812,8.59,FL,FL
312,32814,1.32,FL,FL
313,32817,11.22,FL,FL
314,32818,11.53,FL,FL
315,32819,20.59,FL,FL
316,32820,15.09,FL,FL
317,32821,11.22,FL,FL
318,32822,13.29,FL,FL
319,32824,31.07,FL,FL
320,32825,28.81,FL,FL
321,32826,9.63,FL,FL
322,32827,23.41,FL,FL
323,32828,21.37,FL,FL
324,32829,9.8,FL,FL
325,32831,10.07,FL,FL
326,32832,56.52,FL,FL
327,32833,34.88,FL,FL
328,32834,48.288357221609665,FL,FL
329,32835,9.39,FL,FL
330,32836,15.62,FL,FL
331,32837,22.44,FL,FL
332,32839,7.45,FL,FL
333,32901,12.57,FL,FL
334,32903,3.7,FL,FL
335,32904,19.42,FL,FL
336,32905,9.5,FL,FL
337,32907,17.73,FL,FL
338,32908,19.29,FL,FL
339,32909,43.86,FL,FL
340,32920,4.05,FL,FL
341,32922,5.5,FL,FL
342,32925,48.288357221609665,FL,FL
343,32926,50.73,FL,FL
344,32927,21.94,FL,FL
345,32931,5.2,FL,FL
346,32934,24.21,FL,FL
347,32935,12.87,FL,FL
348,32937,6.71,FL,FL
349,32940,130.3,FL,FL
350,32948,264.16,FL,FL
351,32949,16.25,FL,FL
352,32950,17.84,FL,FL
353,32951,8.13,FL,FL
354,32952,12.37,FL,FL
355,32953,32.25,FL,FL
356,32955,22.14,FL,FL
357,32958,27.84,FL,FL
358,32960,11.36,FL,FL
359,32962,12.26,FL,FL
360,32963,17.37,FL,FL
361,32966,291.06,FL,FL
362,32967,41.72,FL,FL
363,32968,26.29,FL,FL
364,32976,25.67,FL,FL
365,33004,5.7,FL,FL
366,33009,5.08,FL,FL
367,33010,4.32,FL,FL
368,33012,5.86,FL,FL
369,33013,3.81,FL,FL
370,33014,6.13,FL,FL
371,33015,5.82,FL,FL
372,33016,4.38,FL,FL
373,33018,19.49,FL,FL
374,33019,3.94,FL,FL
375,33020,6.05,FL,FL
376,33021,8.71,FL,FL
377,33023,9.64,FL,FL
378,33024,10.73,FL,FL
379,33025,10.82,FL,FL
380,33026,4.53,FL,FL
381,33027,13.42,FL,FL
382,33028,5.75,FL,FL
383,33029,17.83,FL,FL
384,33030,18.35,FL,FL
385,33031,21.37,FL,FL
386,33032,18.8,FL,FL
387,33033,16.78,FL,FL
388,33034,279.42,FL,FL
