,state,county,tract,region,ALAND
268,06,001,06001441402,California,1662788.0
269,06,001,06001441501,California,2858378.0
270,06,001,06001441503,California,72187729.0
271,06,001,06001441521,California,1623728.0
272,06,001,06001441522,California,1315101.0
273,06,001,06001441523,California,467064.0
274,06,001,06001441524,California,1680738.0
275,06,001,06001441601,California,1296670.0
276,06,001,06001441602,California,1682081.0
277,06,001,06001441700,California,33863677.61111111
278,06,001,06001441800,California,2037733.0
279,06,001,06001441921,California,846805.0
280,06,001,06001441923,California,1509389.0
281,06,001,06001441924,California,2184641.0
282,06,001,06001441925,California,33863677.61111111
283,06,001,06001441926,California,410207.0
284,06,001,06001441927,California,650133.0
285,06,001,06001442000,California,7960070.0
286,06,001,06001442100,California,1858895.0
287,06,001,06001442200,California,4191207.0
288,06,001,06001442301,California,1412758.0
289,06,001,06001442302,California,963153.0
290,06,001,06001442400,California,1582838.0
291,06,001,06001442500,California,33863677.61111111
292,06,001,06001442601,California,1181582.0
293,06,001,06001442602,California,1321035.0
294,06,001,06001442700,California,1234034.0
295,06,001,06001442800,California,1278646.0
296,06,001,06001442900,California,2066523.0
297,06,001,06001443001,California,768730.0
298,06,001,06001443002,California,1580322.0
299,06,001,06001443102,California,2367415.0
300,06,001,06001443103,California,16687132.0
301,06,001,06001443104,California,1847041.0
302,06,001,06001443105,California,3289425.0
303,06,001,06001443200,California,14504923.0
304,06,001,06001443301,California,1556732.0
305,06,001,06001443321,California,558876.0
306,06,001,06001443322,California,1148282.0
307,06,001,06001444100,California,2955571.0
308,06,001,06001444200,California,2069720.0
309,06,001,06001444301,California,2576475.0
310,06,001,06001444302,California,33863677.61111111
311,06,001,06001444400,California,1027755.0
312,06,001,06001444500,California,1959283.0
313,06,001,06001444601,California,3055836.0
314,06,001,06001444602,California,5618904.0
315,06,001,06001450101,California,1811639.0
316,06,001,06001450102,California,9584945.0
317,06,001,06001450200,California,1612600.0
318,06,001,06001450300,California,3133641.0
319,06,001,06001450400,California,3148411.0
320,06,001,06001450501,California,1163206.0
321,06,001,06001450502,California,11294505.0
322,06,001,06001450601,California,50094425.0
323,06,001,06001450602,California,33863677.61111111
324,06,001,06001450603,California,3918835.0
325,06,001,06001450604,California,2113004.0
326,06,001,06001450605,California,1770810.0
327,06,001,06001450606,California,2028173.0
328,06,001,06001450607,California,4742198.0
329,06,001,06001450701,California,263522448.0
330,06,001,06001450741,California,2182371.0
331,06,001,06001450742,California,7245748.0
332,06,001,06001450743,California,4278807.0
333,06,001,06001450744,California,2626684.0
334,06,001,06001450745,California,5341893.0
335,06,001,06001450746,California,1733948.0
336,06,001,06001450750,California,1684119.0
337,06,001,06001450751,California,9988736.0
338,06,001,06001450752,California,17420801.0
339,06,001,06001451101,California,33863677.61111111
340,06,001,06001451102,California,4513799.0
341,06,001,06001451201,California,3662205.0
342,06,001,06001451202,California,45820508.0
343,06,001,06001451300,California,11926523.0
344,06,001,06001451401,California,4633031.0
345,06,001,06001451403,California,679874.0
346,06,001,06001451404,California,1674931.0
347,06,001,06001451501,California,5051102.0
348,06,001,06001451503,California,2674109.0
349,06,001,06001451504,California,3247420.0
350,06,001,06001451505,California,1373459.0
351,06,001,06001451506,California,851134.0
352,06,001,06001451601,California,3936358.0
353,06,001,06001451602,California,3013438.0
354,06,001,06001451701,California,1222738.0
355,06,001,06001451703,California,1720327.0
356,06,001,06001451704,California,2005363.0
357,06,001,06001981900,California,3741390.0
358,06,001,06001982000,California,1269350.0
359,06,001,06001983200,California,494542.0
360,06,001,06001990000,California,0.0
361,06,003,06003010000,California,1912292607.0
362,06,005,06005000101,California,63019987.0
363,06,005,06005000102,California,456204155.0
364,06,005,06005000200,California,323177646.0
365,06,005,06005000301,California,195548070.0
366,06,005,06005000303,California,136249615.0
367,06,005,06005000304,California,141704648.0
368,06,005,06005000401,California,42374587.0
369,06,005,06005000402,California,73253998.0
370,06,005,06005000500,California,108433071.0
371,06,007,06007000102,California,2603734.0
372,06,007,06007000103,California,3107258.0
373,06,007,06007000104,California,2545090.0
374,06,007,06007000201,California,3422375.0
375,06,007,06007000202,California,1698925.0
376,06,007,06007000300,California,2551507.0
377,06,007,06007000401,California,4450671.0
378,06,007,06007000402,California,557118324.3333334
379,06,007,06007000501,California,5451772.0
380,06,007,06007000502,California,1105181.0
381,06,007,06007000601,California,1807964.0
382,06,007,06007000603,California,1107953.0
383,06,007,06007000604,California,1056612.0
384,06,007,06007000700,California,3154723.0
385,06,007,06007000800,California,3969618.0
386,06,007,06007000901,California,16428315.0
387,06,007,06007000903,California,5968047.0
388,06,007,06007000904,California,4365225.0
389,06,007,06007001000,California,2471667.0
390,06,007,06007001100,California,6660390.0
391,06,007,06007001200,California,8677581.0
392,06,007,06007001300,California,4000720.0
393,06,007,06007001400,California,317313593.0
394,06,007,06007001500,California,350550619.0
395,06,007,06007001600,California,557118324.3333334
396,06,007,06007001702,California,34452118.0
397,06,007,06007001703,California,3818069.0
398,06,007,06007001704,California,325475031.0
399,06,007,06007001800,California,12111219.0
400,06,007,06007001900,California,8762620.0
401,06,007,06007002000,California,7168115.0
402,06,007,06007002100,California,9227933.0
403,06,007,06007002200,California,136834445.0
404,06,007,06007002300,California,75576503.0
405,06,007,06007002400,California,557118324.3333334
406,06,007,06007002500,California,129336256.0
407,06,007,06007002601,California,20121275.0
408,06,007,06007002602,California,18244927.0
409,06,007,06007002700,California,13018991.0
410,06,007,06007002800,California,4245051.0
411,06,007,06007002900,California,6413660.0
412,06,007,06007003001,California,2307906.0
413,06,007,06007003002,California,16689814.0
414,06,007,06007003100,California,12324360.0
415,06,007,06007003200,California,39355730.0
416,06,007,06007003300,California,308506825.0
417,06,007,06007003400,California,39257140.0
418,06,007,06007003501,California,29794855.0
419,06,007,06007003502,California,122146259.0
420,06,007,06007003600,California,330797952.0
421,06,007,06007003700,California,106677134.0
422,06,009,06009000120,California,294858874.75
423,06,009,06009000121,California,154813637.0
424,06,009,06009000122,California,162268283.0
425,06,009,06009000210,California,294858874.75
426,06,009,06009000220,California,256960184.0
427,06,009,06009000300,California,294858874.75
428,06,009,06009000400,California,463880718.0
429,06,009,06009000501,California,63826299.0
430,06,009,06009000503,California,294858874.75
431,06,009,06009000504,California,360652739.0
432,06,011,06011000100,California,565819970.0
433,06,011,06011000200,California,215944586.0
434,06,011,06011000300,California,952744523.0
435,06,011,06011000400,California,1075605224.0
436,06,011,06011000500,California,170218424.0
437,06,013,06013301000,California,91144804.0
438,06,013,06013302005,California,3576977.0
439,06,013,06013302006,California,6786050.0
440,06,013,06013302007,California,4334241.0
441,06,013,06013302008,California,10803027.8125
442,06,013,06013302009,California,5277016.0
443,06,013,06013302010,California,10803027.8125
444,06,013,06013303102,California,10803027.8125
445,06,013,06013303103,California,10803027.8125
446,06,013,06013303201,California,10803027.8125
447,06,013,06013303202,California,3725526.0
448,06,013,06013303203,California,10803027.8125
449,06,013,06013303204,California,2066324.0
450,06,013,06013303205,California,10803027.8125
451,06,013,06013304001,California,28917476.0
