,state,county,tract,region,ALAND
100,12,005,12005002703,Florida,10045408.0
101,12,005,12005002704,Florida,86754635.77777778
102,12,005,12005002705,Florida,86754635.77777778
103,12,005,12005990000,Florida,0.0
104,12,007,12007000100,Florida,51938027.0
105,12,007,12007000200,Florida,266841122.5
106,12,007,12007000300,Florida,266841122.5
107,12,007,12007000400,Florida,175748265.0
108,12,009,12009060101,Florida,52719623.8125
109,12,009,12009060102,Florida,52719623.8125
110,12,009,12009060200,Florida,52719623.8125
111,12,009,12009060300,Florida,52719623.8125
112,12,009,12009060400,Florida,6841043.0
113,12,009,12009060500,Florida,7959549.0
114,12,009,12009060600,Florida,6744880.0
115,12,009,12009060700,Florida,2199816.0
116,12,009,12009061001,Florida,3869275.0
117,12,009,12009061002,Florida,2112236.0
118,12,009,12009061100,Florida,8667464.0
119,12,009,12009061201,Florida,13656072.0
120,12,009,12009061202,Florida,33704399.0
121,12,009,12009062103,Florida,52719623.8125
122,12,009,12009062104,Florida,52719623.8125
123,12,009,12009062106,Florida,3720130.0
124,12,009,12009062107,Florida,52719623.8125
125,12,009,12009062108,Florida,5113912.0
126,12,009,12009062109,Florida,11169447.0
127,12,009,12009062301,Florida,2682011.0
128,12,009,12009062302,Florida,2831784.0
129,12,009,12009062400,Florida,52719623.8125
130,12,009,12009062500,Florida,21207014.0
131,12,009,12009062600,Florida,2561988.0
132,12,009,12009062800,Florida,7202507.0
133,12,009,12009062900,Florida,9549888.0
134,12,009,12009063000,Florida,7994157.0
135,12,009,12009063102,Florida,12555870.0
136,12,009,12009063104,Florida,6579547.0
137,12,009,12009063105,Florida,5981358.0
138,12,009,12009063106,Florida,3203359.0
139,12,009,12009063107,Florida,52719623.8125
140,12,009,12009064102,Florida,7523208.0
141,12,009,12009064123,Florida,3455909.0
142,12,009,12009064124,Florida,5175202.0
143,12,009,12009064125,Florida,52719623.8125
144,12,009,12009064126,Florida,7247104.0
145,12,009,12009064127,Florida,11468045.0
146,12,009,12009064128,Florida,13432742.0
147,12,009,12009064201,Florida,2719082.0
148,12,009,12009064202,Florida,2818366.0
149,12,009,12009064301,Florida,3880911.0
150,12,009,12009064302,Florida,3904014.0
151,12,009,12009064400,Florida,2880671.0
152,12,009,12009064500,Florida,2285183.0
153,12,009,12009064601,Florida,11023451.0
154,12,009,12009064602,Florida,9303536.0
155,12,009,12009064700,Florida,52719623.8125
156,12,009,12009064800,Florida,2766706.0
157,12,009,12009064901,Florida,5288372.0
158,12,009,12009064902,Florida,3446338.0
159,12,009,12009065001,Florida,7006577.0
160,12,009,12009065021,Florida,52719623.8125
161,12,009,12009065022,Florida,5011674.0
162,12,009,12009065121,Florida,52719623.8125
163,12,009,12009065122,Florida,52719623.8125
164,12,009,12009065123,Florida,7681891.0
165,12,009,12009065124,Florida,3239670.0
166,12,009,12009065125,Florida,52719623.8125
167,12,009,12009065201,Florida,4359979.0
168,12,009,12009065202,Florida,6241707.0
169,12,009,12009065231,Florida,71265745.0
170,12,009,12009065234,Florida,52719623.8125
171,12,009,12009065235,Florida,52719623.8125
172,12,009,12009065236,Florida,53634668.0
173,12,009,12009066101,Florida,3768887.0
174,12,009,12009066103,Florida,1450111.0
175,12,009,12009066104,Florida,15852354.0
176,12,009,12009066200,Florida,2385872.0
177,12,009,12009066301,Florida,4558720.0
178,12,009,12009066302,Florida,2880206.0
179,12,009,12009066400,Florida,3060138.0
180,12,009,12009066500,Florida,2573951.0
181,12,009,12009066600,Florida,2564989.0
182,12,009,12009066700,Florida,3493566.0
183,12,009,12009066800,Florida,1545698.0
184,12,009,12009066900,Florida,3880270.0
185,12,009,12009067100,Florida,8018169.0
186,12,009,12009068101,Florida,2003510.0
187,12,009,12009068102,Florida,4278798.0
188,12,009,12009068200,Florida,52719623.8125
189,12,009,12009068300,Florida,52719623.8125
190,12,009,12009068400,Florida,1647610.0
191,12,009,12009068501,Florida,1264764.0
192,12,009,12009068502,Florida,1020958.0
193,12,009,12009068601,Florida,2999217.0
194,12,009,12009068602,Florida,52719623.8125
195,12,009,12009069100,Florida,9663434.0
196,12,009,12009069200,Florida,1826996.0
197,12,009,12009069300,Florida,3306633.0
198,12,009,12009069400,Florida,13019982.0
199,12,009,12009069700,Florida,1743588.0
200,12,009,12009069801,Florida,3405895.0
201,12,009,12009069802,Florida,2280260.0
202,12,009,12009069901,Florida,52719623.8125
203,12,009,12009069902,Florida,52719623.8125
204,12,009,12009071100,Florida,249622559.0
205,12,009,12009071200,Florida,52719623.8125
206,12,009,12009071301,Florida,52719623.8125
